p_zendar|Zendar Şehri
p_town_1|Sargoth Şehri
p_town_2|Tihr Şehri
p_town_3|Veluca Şehri
p_town_4|Suno Şehri
p_town_5|Jelkala Şehri
p_town_6|Praven Şehri
p_town_7|Uxkhal Şehri
p_town_8|Reyvadin Şehri
p_town_9|Khudan Şehri
p_town_10|Tulga Şehri
p_town_11|Curaw Şehri
p_town_12|Wercheg Şehri
p_town_13|Rivacheg Şehri
p_town_14|Halmar Şehri
p_town_15|Yalen Şehri
p_town_16|Dhirim Şehri
p_town_17|Ichamur Şehri
p_town_18|Narra Şehri
p_town_19|Shariz Şehri
p_town_20|Durquba Şehri
p_town_21|Ahmerrad Şehri
p_town_22|Bariyye Şehri
p_town_23|Naples
p_town_24|Muscat
p_town_25|Bukhara
p_town_26|Kabul
p_town_27|Lisbon
p_town_28|Bucharest
p_town_29|Barcelona
p_town_30|Leon
p_town_31|Rennes
p_town_32|Konigsberg
p_town_33|Algiers
p_town_34|Budapest
p_town_35|Prague
p_town_36|Mecca
p_town_37|Moscow
p_town_38|Tabriz
p_town_39|Copenhagen
p_town_40|Rome
p_town_41|Manchester
p_town_42|Fes
p_town_43|Athens
p_town_44|Sofia
p_town_45|Munich
p_town_46|Stuttgart
p_town_47|Hannover
p_town_48|Stockholm
p_town_49|Oslo
p_town_50|Brussels
p_town_51|Frankfurt
p_town_52|Ankara
p_town_53|Trabzon
p_town_54|Izmir
p_town_55|Baghdad
p_town_56|Erzurum
p_town_57|Damascus
p_town_58|Jerusalem
p_town_59|Quetta
p_town_60|Jaipur
p_town_61|Lahore
p_town_62|Tbilisi
p_town_63|Kiev
p_town_64|Warsaw
p_town_65|Riga
p_town_66|Minsk
p_town_67|Nizhny Novgorod
p_castle_1|Culmarr Kalesi
p_castle_2|Malayurg Kalesi
p_castle_3|Bulugha Kalesi
p_castle_4|Radoghir Kalesi
p_castle_5|Tehlrog Kalesi
p_castle_6|Tilbaut Kalesi
p_castle_7|Sungetche Kalesi
p_castle_8|Jeirbe Kalesi
p_castle_9|Jamiche Kalesi
p_castle_10|Alburq Kalesi
p_castle_11|Curin Kalesi
p_castle_12|Chalbek Kalesi
p_castle_13|Kelredan Kalesi
p_castle_14|Maras Kalesi
p_castle_15|Ergellon Kalesi
p_castle_16|Almerra Kalesi
p_castle_17|Distar Kalesi
p_castle_18|Ismirala Kalesi
p_castle_19|Yruma Kalesi
p_castle_20|Derchios Kalesi
p_castle_21|Ibdeles Kalesi
p_castle_22|Unuzdaq Kalesi
p_castle_23|Tevarin Kalesi
p_castle_24|Reindi Kalesi
p_castle_25|Ryibelet Kalesi
p_castle_26|Senuzgda Kalesi
p_castle_27|Rindyar Kalesi
p_castle_28|Grunwalder Kalesi
p_castle_29|Nelag Kalesi
p_castle_30|Asugan Kalesi
p_castle_31|Vyincourd Kalesi
p_castle_32|Knudarr Kalesi
p_castle_33|Etrosq Kalesi
p_castle_34|Hrus Kalesi
p_castle_35|Haringoth Kalesi
p_castle_36|Jelbegi Kalesi
p_castle_37|Dramug Kalesi
p_castle_38|Tulbuk Kalesi
p_castle_39|Slezkh Kalesi
p_castle_40|Uhhun Kalesi
p_castle_41|Jameyyed Kalesi
p_castle_42|Teramma Kalesi
p_castle_43|Sharwa Kalesi
p_castle_44|Durrin Kalesi
p_castle_45|Caraf Kalesi
p_castle_46|Weyyah Kalesi
p_castle_47|Samarra Kalesi
p_castle_48|Bardaq Kalesi
p_castle_49|Sfax
p_castle_50|Gafsa
p_castle_51|Hamma
p_castle_52|Benghazi
p_castle_53|Inverness
p_castle_54|Cardiff
p_castle_55|Norwich
p_castle_56|Newcastle
p_castle_57|Londonderry
p_castle_58|Cork
p_castle_59|Salerno
p_castle_60|Taranto
p_castle_61|Foggia
p_castle_62|Minya
p_castle_63|Said
p_castle_64|Qena
p_castle_65|Marrakech
p_castle_66|Rabat
p_castle_67|Ouarzazete
p_castle_68|Rasht
p_castle_69|Braga
p_castle_70|Beja
p_castle_71|Samarkand
p_castle_72|Haima
p_castle_73|Suhar
p_castle_74|Sur
p_castle_75|Ataq
p_castle_76|Esbjerg
p_castle_77|Arhus
p_castle_78|Spoleto
p_castle_79|Ancona
p_castle_80|Bahrain
p_castle_81|Doha
p_castle_82|Abu Dhabi
p_castle_83|Herat
p_castle_84|Balkh
p_castle_85|Merv
p_castle_86|Bacau
p_castle_87|Craiova
p_castle_88|Lvov
p_castle_89|Bruge
p_castle_90|Liege
p_castle_91|Farah
p_castle_92|Leiria
p_castle_93|Zadar
p_castle_94|Dahab
p_castle_95|Dijon
p_castle_96|Kulob
p_castle_97|Setif
p_castle_98|Zintan
p_castle_99|San'A
p_castle_100|Tuttlingen
p_castle_101|Tripolis
p_castle_102|Belgrade
p_castle_103|Pristine
p_castle_104|Kungirot
p_castle_105|Kopetdag
p_castle_106|Garagum
p_castle_107|Glasgow
p_castle_108|Liverpool
p_castle_109|Oxford
p_castle_110|Hamburg
p_castle_111|Oldenburg
p_castle_112|Minden
p_castle_113|Baqa
p_castle_114|Jubbah
p_castle_115|Iranshahr
p_castle_116|Kermanshah
p_castle_117|Sanandaj
p_castle_118|Birjand
p_castle_119|Aswan
p_castle_120|Riyadh
p_castle_121|Al Qasim
p_castle_122|Layla
p_castle_123|Dresden
p_castle_124|Alborg
p_castle_125|Gorgan
p_castle_126|Jonkoping
p_castle_127|Kristianstad
p_castle_128|Mora
p_castle_129|Ha'il
p_castle_130|Charleroi
p_castle_131|Magdeberg
p_castle_132|Messina
p_castle_133|Bandar Abbas
p_castle_134|Taroudaut
p_castle_135|Reims
p_castle_136|Caserta
p_castle_137|Cagliari
p_castle_138|Palermo
p_castle_139|Lamia
p_castle_140|Messolongi
p_castle_141|Lyon
p_castle_142|Corsica
p_castle_143|Gibraltar
p_castle_144|Malta
p_castle_145|Kolozsvar
p_castle_146|Eger
p_castle_147|Qazvin
p_castle_148|Qarshi
p_castle_149|Khorramabad
p_castle_150|British Military Base
p_castle_151|Strasbourg
p_castle_152|Magon
p_castle_153|Toulouse
p_castle_154|Mont de Marsan
p_castle_155|Chartres
p_castle_156|Loriens
p_castle_157|Rouen
p_castle_158|Limoges
p_castle_159|Skopje
p_castle_160|Varna
p_castle_161|Augsburg
p_castle_162|Nuremburg
p_castle_163|Regensburg
p_castle_164|Schwerin
p_castle_165|Mainz
p_castle_166|Gorzow
p_castle_167|Paderborn
p_castle_168|Stendal
p_castle_169|Usti Nad Labem
p_castle_170|Afif
p_castle_171|Ostersund
p_castle_172|Harnosand
p_castle_173|Bergen
p_castle_174|Halmstad
p_castle_175|Basra
p_castle_176|Najaf
p_castle_177|Mosul
p_castle_178|Arbil
p_castle_179|Konya
p_castle_180|Al Ramadi
p_castle_181|Kirkuk
p_castle_182|Naseriyyeh
p_castle_183|Adana
p_castle_184|Denizli
p_castle_185|Canakkale
p_castle_186|Afyon
p_castle_187|Zonguldak
p_castle_188|Sinop
p_castle_189|Amasya
p_castle_190|Antioch
p_castle_191|Kars
p_castle_192|Sivas
p_castle_193|Van
p_castle_194|Diyarbekr
p_castle_195|Artvin
p_castle_196|Bolu
p_castle_197|Siirt
p_castle_198|Sinjar
p_castle_199|Al Rutbah
p_castle_200|Beirut
p_castle_201|Aleppo
p_castle_202|Beirut
p_castle_203|Al Raqqah
p_castle_204|Ma'an
p_castle_205|Bursa
p_castle_206|Chabahar
p_castle_207|Karachi
p_castle_208|Kalat
p_castle_209|Turbat
p_castle_210|Dalbandin
p_castle_211|Rajkot
p_castle_212|Ajmer
p_castle_213|Debrecen
p_castle_214|Bournemouth
p_castle_215|Exeter
p_castle_216|Baku
p_castle_217|Beyneu
p_castle_218|Batumi
p_castle_219|Makhachkala
p_castle_220|Stavrpol
p_castle_221|Astrakhan
p_castle_222|Krasnodar
