829
qstr_thawb1_belt1 thawb1_belt1
qstr_banner_ria1 banner_ria1
qstr_Next_Page Next_Page
qstr_Game_Rules:^ Game_Rules:^
qstr_0 0
qstr_Lv._{reg0} Lv._{reg0}
qstr_Show_game_rules Show_game_rules
qstr_Choose_name_for_your Choose_name_for_your_faction:
qstr_Continue... Continue...
qstr_Candidate_#1:_{s1} Candidate_#1:_{s1}
qstr_Candidate_#2:_{s1} Candidate_#2:_{s1}
qstr_{s3}_of_{s4}_wishes_ {s3}_of_{s4}_wishes_to_select_a_new_marshall_and_invites_his_vassals_for_a_counsel._{s1}_and_{s2}_are_the_likely_candidates.
qstr_Who_do_you_wish_to_s Who_do_you_wish_to_support?
qstr_{!}{s1} {!}{s1}
qstr_{s1}_gives_his_suppo {s1}_gives_his_support_to_{s2}.
qstr_Number_of_Supporters Number_of_Supporters:_{reg0}
qstr_{s2}_has_heard_his_v {s2}_has_heard_his_vassals'_counsel._He_selects_{s1}_as_the_marshall_of_{s3}.
qstr__ _
qstr_Mount Mount
qstr_Attack_Type Attack_Type
qstr_Retreat Retreat
qstr_Charge Charge
qstr_Follow_Me Follow_Me
qstr_Form_Square Form_Square
qstr_Spread_Out Spread_Out
qstr_Stand_Closer Stand_Closer
qstr_Fall_Back Fall_Back
qstr_Advance Advance
qstr_Dismount Dismount
qstr_Fire_At_Will Fire_At_Will
qstr_Hold_Your_Fire Hold_Your_Fire
qstr_Use_Ranged_Weapons Use_Ranged_Weapons
qstr_Use_Melee_Weapons Use_Melee_Weapons
qstr_Ready Ready
qstr_Wounded Wounded
qstr_Dead Dead
qstr_Cannot_form_square:_ Cannot_form_square:_too_many_companies_selected.
qstr_Cannot_form_square:_w Cannot_form_square:_wrong_company_types_(only_line_infantry_and_guard_inantry_can_form_square).
qstr_Number_of_men_knocke Number_of_men_knocked_down:_{reg1}
qstr_Number_of_men_left:_ Number_of_men_left:_{reg1}
qstr_Opponents_Beaten:_{r Opponents_Beaten:_{reg1}
qstr_Opponents_Remaining: Opponents_Remaining:_{reg1}
qstr_Remain_in_retirement Remain_in_retirement.
qstr_Go_back_to_the_adven Go_back_to_the_adventuring.
qstr_You_have_retired_at_ You_have_retired_at_level_{reg4}_after_{reg5}_days_of_adventuring.
qstr_Effect_on_Score Effect_on_Score
qstr_Settlements_owned_by Settlements_owned_by_you:_{reg0}
qstr_{!}{reg0?+:}{reg0} {!}{reg0?+:}{reg0}
qstr_Friendly_Settlements Friendly_Settlements:_{reg0}
qstr_Hostile_Settlements: Hostile_Settlements:_{reg0}
qstr_{!}{reg0} {!}{reg0}
qstr_Friendly_Lords:_{reg Friendly_Lords:_{reg0}
qstr_Enemy_Lords:_{reg0} Enemy_Lords:_{reg0}
qstr_Victories:_{reg0} Victories:_{reg0}
qstr_Defeats:_{reg0} Defeats:_{reg0}
qstr_Quests_Completed:_{r Quests_Completed:_{reg0}
qstr_Companions_Found:_{r Companions_Found:_{reg0}
qstr_Companions_Lost/Depa Companions_Lost/Departed:_{reg0}
qstr_Wealth:_{reg0}_pound Wealth:_{reg0}_pounds
qstr_Inventory:_{reg0}_po Inventory:_{reg0}_pounds
qstr_Renown:_{reg0} Renown:_{reg0}
qstr_Experience:_{reg0} Experience:_{reg0}
qstr_Days_Passed:_{reg0} Days_Passed:_{reg0}
qstr_Difficulty:_{reg0}% Difficulty:_{reg0}%
qstr_{!}{reg3?+:}{reg0} {!}{reg3?+:}{reg0}
qstr_TOTAL_SCORE:_{reg0} TOTAL_SCORE:_{reg0}
qstr_Income_from_factorie Income_from_factories_share:
qstr_{reg10} {reg10}
qstr_{!}DEBUG____Adding_{ {!}DEBUG_--_Adding_{reg3}_items_to_{s3}
qstr_None None
qstr_Back Back
qstr_Empty Empty
qstr_Number_of^artillery_ Number_of^artillery_shells.
qstr_1._{s1} 1._{s1}
qstr___c. __c.
qstr_90% 90%
qstr_2._{s1} 2._{s1}
qstr__% _%
qstr_3._{s1} 3._{s1}
qstr_4._{s1} 4._{s1}
qstr_5._{s1} 5._{s1}
qstr_6._{s1} 6._{s1}
qstr_7._{s1} 7._{s1}
qstr_8._{s1} 8._{s1}
qstr_Form_Square^^Selecte Form_Square^^Selected_companies_(not_more_than_two)^will_form_a_square_formation._It_is_effective_in_melee^fighting,_especially_against_cavalry,_but_vulnarable^to_an_enemy_fire._To_selected_companies_be_able_to^form_square,_they_need_to_have_at_least_25_soldiers^in_total.^Company_types:_Line_infantry,_Guard.
qstr_pbs_activeability_me pbs_activeability_merge
qstr_Merge_Companies^^Sel Merge_Companies^^Selected_companies_(not_less_than_one)^will_be_merged_into_one_that_has_highest_number_of_soldiers.
qstr_pbs_activeability_di pbs_activeability_digin
qstr_Dig_In^^Selected_com Dig_In^^Selected_companies_will_dig_in,^creating_trenches_on_their_position.^Only_available_once_per_battle.^Company_types:_Line_infantry,_Guard.
qstr_pbs_activeability_co pbs_activeability_coveringfire_on
qstr_pbs_activeability_ga pbs_activeability_gas
qstr_Gas_Attack^^.^Compan Gas_Attack^^.^Company_types:_Field_Guns_and_Howitzers.
qstr_pbs_activeability_gr pbs_activeability_grenades
qstr_Grenade_Attack^^Sele Grenade_Attack^^Selected_companies_launch_a_grenade_attack,_throwing^hand_grenades_at_enemies_which_are_at_close_distance.^Only_available_once_per_3_minutes.^Company_types:_Shock_troops.
qstr_Suppression_fire:_on Suppression_fire:_on
qstr_Suppression_fire:_of Suppression_fire:_off
qstr_pbs_activeability_cov pbs_activeability_coveringfire_off
qstr_Suppression_fire:_on/ Suppression_fire:_on/off
qstr_pbs_activeability_cove pbs_activeability_coveringfire_onoff
qstr_No_companies_selecte No_companies_selected
